"cstm_cd","eigyosyo_cd","sales_date"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-14"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-15"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
"02000026","00000002","2023-09-16"
